,0
0,19.36
1,251.02
2,263.78000000000003
3,522.72
4,904.42
5,1238.8200000000002
6,2189.8799999999997
7,3047.2200000000003
8,2163.26
9,2686.64
10,3175.92
11,2730.86
12,2093.96
13,2774.2
14,1833.48
15,1057.54
16,340.12
17,48.4
18,12.540000000000001
19,6.38
20,117.04
21,305.58
22,805.42
23,1556.94
24,2812.04
25,2807.6400000000003
26,4561.26
27,4812.06
28,4766.52
29,4339.719999999999
30,2464.0
31,2361.0400000000004
32,1921.92
33,1918.1799999999998
34,681.34
35,226.38
36,235.84
37,220.21999999999997
38,38.94
39,10.780000000000001
40,104.28
41,284.24
42,807.84
43,1336.28
44,1399.4199999999998
45,1189.76
46,1719.74
47,1232.44
48,1139.6
49,972.1800000000001
50,1572.56
51,3044.8
52,2132.02
53,1995.4
54,343.42
55,102.51999999999998
56,209.44
57,989.7800000000001
58,317.02000000000004
59,370.26
60,130.68
61,67.76
62,2.42
63,18.48
64,40.48
65,423.28
66,514.8
67,398.64
68,2736.58
69,1704.78
70,514.58
71,234.29999999999998
72,320.98
73,423.94
74,317.46000000000004
75,606.3199999999999
76,610.94
77,285.12
78,229.89999999999998
79,134.42
80,24.86
81,2.42
82,4.619999999999998
83,98.78
84,267.52
85,735.9000000000001
86,777.7
87,1061.94
88,1546.82
89,2673.22
90,3450.7000000000003
91,3406.92
92,4500.76
93,4457.860000000001
94,4289.34
95,3734.7200000000007
96,3025.88
97,2159.96
98,1168.64
99,317.46000000000004
100,110.44
101,3.74
102,2.64
103,8.36
104,119.45999999999998
105,310.64
106,759.0
107,2524.28
108,3895.54
109,4775.099999999999
110,4977.28
111,4952.64
112,2705.34
113,2513.5
114,2599.96
115,1975.82
116,761.86
117,317.90000000000003
118,104.5
119,192.5
120,82.06
121,7.920000000000001
122,9.02
123,71.28
124,216.91999999999996
125,413.38
126,631.62
127,1293.16
128,937.4200000000001
129,1591.26
130,2533.74
131,3826.0200000000004
132,1673.32
133,575.3000000000001
134,470.8
135,687.28
136,601.6999999999999
137,911.02
138,301.84000000000003
139,163.24
140,25.740000000000002
141,18.48
142,132.88
143,298.98
144,850.3000000000001
145,1175.8999999999999
146,2991.12
147,3999.600000000001
148,4693.7
149,5103.56
150,5018.64
151,4317.72
152,4732.200000000001
153,4367.4400000000005
154,3845.82
155,3115.6400000000003
156,2298.12
157,1372.3600000000001
158,604.12
159,360.14
160,146.74
161,13.86
162,0.44
163,45.980000000000004
164,154.44
165,294.36
166,709.2800000000001
167,1180.3
168,2142.14
169,1828.2
170,2333.32
171,1770.12
172,3637.4799999999996
173,2804.56
174,2476.1
175,1602.48
176,1828.8599999999997
177,1183.16
178,433.4
179,155.76
180,45.980000000000004
181,9.68
182,6.82
183,41.58
184,109.78
185,248.15999999999997
186,143.66
187,324.94
188,595.76
189,456.06000000000006
190,462.21999999999997
191,1206.7
192,2328.04
193,3190.66
194,4529.14
195,3154.14
196,3129.5
197,2276.12
198,1267.6399999999999
199,590.26
200,345.40000000000003
201,133.54
202,4.4
203,10.780000000000001
204,111.98
205,238.26
206,815.1
207,1001.22
208,1652.42
209,2480.94
210,2481.1600000000003
211,3372.38
212,3408.02
213,3185.82
214,2859.78
215,2673.88
216,2599.2999999999997
217,2104.52
218,1384.9
219,873.4000000000001
220,463.98
221,267.74
222,75.02000000000001
223,1.76
224,9.68
225,124.51999999999998
226,350.24
227,611.5999999999999
228,1441.66
229,2962.08
230,3168.22
231,4357.320000000001
232,4397.8
233,4356.66
234,4274.16
235,3974.3
236,3535.4
237,3337.1800000000003
238,2826.78
239,2345.2
240,1255.1
241,597.08
242,385.0
243,188.98
244,8.58
245,22.439999999999998
246,107.8
247,249.7
248,694.7600000000001
249,1167.32
250,2552.2200000000003
251,3773.88
252,3732.5200000000004
253,3253.36
254,4240.500000000001
255,3954.06
256,1736.46
257,938.3
258,1554.08
259,776.38
260,321.42
261,449.6799999999999
262,257.18
263,62.699999999999996
264,4.619999999999998
265,56.760000000000005
266,100.97999999999999
