Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10962369,"🤖 Suboptimus Prime","2023-10-16 02:01:32",142.92334,46,"peterskaarnordby,simenkristoffersen"
2,10953644,"[012] Neural Network Ninjas","2023-10-16 16:51:52",145.67266,53,"marinorfolk,mathiaskarsrudnordal,olarabrahamsen"
3,10966128,"ML Magicians","2023-10-13 13:29:34",147.28680,41,"jtulvik,marcushjrund,simenwold"
0,10952991,"VT La La Lizard.csv","2023-09-22 09:15:35",147.79897,1,
4,10987272,"Null In My Kernel","2023-10-13 16:03:53",149.61192,29,"aaryanneupane,beachboy12345,sindrelothe"
5,10954723,"NaN Squad","2023-10-17 07:14:52",150.57251,41,"aslakvengbo,henrikjbs,jorgensandhaug"
6,10953126,"I love your NaN(s)","2023-10-17 09:46:42",151.03130,67,"henrikhorpedal,phdpham,roryfitzgerald"
0,10952993,"VT Frostling.csv","2023-09-22 09:15:57",151.85257,1,
7,10953330,"[003] Linear Regression","2023-10-16 17:34:40",151.91453,17,"ellingsvee,erikmma,matiassunde2"
8,10965878,"[146] hey girl lets ML n chill","2023-10-10 09:03:42",153.07051,19,"joakimness,olerlasson,sinanmaric"
9,10953597,"Relu Rep Rippers","2023-10-13 14:50:26",153.42143,44,"dragevxo,mikkelol"
10,10977000,"NeuralNet Ninjas","2023-10-16 20:01:40",154.35315,36,"kristoffergrude,mathiasraa,siverteggen"
11,10955315,"[016]The Pizza Slice Embedding","2023-10-17 08:21:01",154.48885,69,"eirikreiestad,henriklarsen28,julievytran"
12,10998390,"brute force","2023-10-17 11:27:55",154.99909,19,"halvardliland,isabeltlam,sanderskonhoft"
13,10986550,"R U smarter than a 5th grdr?","2023-10-16 20:47:23",155.10592,45,"kevin10tran12,sunnivaa,vildethorstensen"
14,10975975,"K-means Krew","2023-10-17 06:44:01",155.64909,35,"danielhaugland,elibir,sindreaas"
15,11000561,IsakDrage,"2023-10-16 15:19:12",156.19996,7,"isakdrage,thodorsm"
16,10966660,Barbie,"2023-10-17 10:27:34",156.23483,39,"hrlucy,jayshorey,marijansoric"
17,10964785,"[53] Snåsamannen","2023-10-13 17:21:40",156.78264,23,"eriktjrandfrland,larsmartinlstad"
18,10958184,"Group 83","2023-10-13 02:19:59",157.48680,7,"askiversylte,dortheamunch"
19,11009871,"Goup 98","2023-10-13 17:40:26",157.59922,4,"eriksalvesen,jesperelverum"
20,10962227,"Group 67","2023-10-17 11:57:55",158.08244,18,"hermansolem,petersagdahl,sanderboyeeikeland"
21,10968288,"Catch [22]","2023-10-17 10:36:12",158.11048,31,"hansmutne,thomaskrogstad1"
22,11011031,"My AI rocks","2023-10-16 14:55:18",158.14001,31,"jennifervo00,synnesjaavik"
